id,host,virus,source,index,method
8001761415850924295,16876988720986076585,10361423236455400022,HP3,1,PCR
11200454590888736809,18210127964822182344,10361423236455400022,HP3,2,Antibodies
4953676186906300450,17871519992299789793,10361423236455400022,HP3,3,Antibodies
16726223773083057379,7715378055053687253,14663018093642263145,HP3,4,bcELISA
16309711666603846184,7715378055053687253,3424059308209144826,HP3,5,Antibodies
1544571007410175029,7715378055053687253,13672277990829635679,HP3,6,PCR
5446965800217375998,7715378055053687253,5113982376051310880,HP3,7,Antibodies
2849527360436724556,7715378055053687253,11354181896813901977,HP3,8,Antibodies
8945526485029934537,7715378055053687253,1508539909191321008,HP3,9,Antibodies
12941148623231881369,3822988866200242038,1216596698475581392,HP3,10,Antibodies
1465286102515891677,3822988866200242038,15985239528559963951,HP3,11,Antibodies
12644430035304303197,3822988866200242038,3424059308209144826,HP3,12,Antibodies
10610771390632678964,3822988866200242038,15616493920863867709,HP3,13,SNT
8969571989596359250,3822988866200242038,10512389074428962004,HP3,14,Antibodies
9782635158090295144,3822988866200242038,10022191545486910401,HP3,15,Antibodies
14649323439641430330,3822988866200242038,8706664030241246065,HP3,16,Antibodies
9609660020957882003,3822988866200242038,12580576090585686194,HP3,17,Antibodies
5718119677375689345,3822988866200242038,6835199666382765777,HP3,18,Antibodies
15430634569690566472,17134185107585302334,10166490846477095963,HP3,19,Antibodies
4721414239730015320,11967168692983366420,10512389074428962004,HP3,20,Antibodies
4001230913475422169,11967168692983366420,12580576090585686194,HP3,21,Antibodies
3619340316135062187,6785977753417467403,10361423236455400022,HP3,22,IFA
15689885829242493794,6785977753417467403,6621808262509334487,HP3,23,Isolation
17767418084652790089,6785977753417467403,12130660467729182949,HP3,24,Isolation
14783246927551507152,1579515449646813647,10361423236455400022,HP3,25,PCR
17920340496428389165,1579515449646813647,11664381658123568121,HP3,26,Isolation
16431538454749645366,12537221288409919474,10361423236455400022,HP3,27,Antibodies
16638749806560402288,12834171075920365221,4685777467524603456,HP3,28,PCR
14860785341640296311,49595547219238817,10361423236455400022,HP3,29,Antibodies
1739081879273710281,10205138680991136293,1216596698475581392,HP3,30,Antibodies
9990586053617980352,10205138680991136293,15985239528559963951,HP3,31,Isolation
5732817326795927166,10205138680991136293,3424059308209144826,HP3,32,Antibodies
3841025472516319187,10205138680991136293,15616493920863867709,HP3,33,SNT
16557454404257112734,10205138680991136293,10512389074428962004,HP3,34,Antibodies
17746411291866653562,10205138680991136293,10022191545486910401,HP3,35,Antibodies
17624984405927881984,10205138680991136293,15346800404306096267,HP3,36,VNT
